RESERVED,0.022951283,-0.037330333,-0.050372314,0.028727438,-0.00335671,0.07524873,-0.03579998,0.008741211,0.06629117,-0.0392673,-0.0018026009,0.020055484,-0.038910773,0.018237518,0.039676666,0.017630588,-0.036190562,-0.019548928,0.001022242,0.085465394
fermentaire,-0.054541204,-0.19850628,0.16934413,0.15064614,-0.22585416,0.08241305,-0.16801436,0.038949713,0.025549911,-0.09370846,-0.11795002,-0.19484207,-0.16735297,0.101042375,-0.1057057,0.17271692,0.24608356,-0.16370657,-0.16778353,0.18117684
cuir,-0.15685366,-0.13748148,0.13409494,0.16539858,-0.104304254,0.08979244,-0.2459391,0.058092102,0.06012766,-0.06758225,-0.15652081,-0.15542936,-0.19580692,0.0733848,-0.1615873,0.1351162,0.21568994,-0.19806477,-0.09435232,0.25967106
thiolvegetal,-0.14840133,-0.104031436,0.08548158,0.13765574,-0.12552129,0.12038324,-0.13888541,0.020230822,0.019505322,-0.10025229,-0.12655912,-0.15085752,-0.1755815,0.14919618,-0.12787874,0.11862402,0.13130744,-0.13527347,-0.1456168,0.1568989
anise,-0.06987125,-0.22740352,0.1237416,0.15256324,-0.11291173,0.039904237,-0.12729548,0.076934755,0.13730237,-0.13448296,-0.13837403,-0.11649448,-0.24445465,0.04268735,-0.13787359,0.11362943,0.19994543,-0.18517311,-0.09650248,0.101790324
vanille,0.08957423,0.012038147,0.04314263,0.120564595,-0.097154714,0.03996804,-0.08893312,-0.037408914,0.04989075,-0.055392466,-0.13708757,-0.0604899,-0.08986698,0.12419112,-0.008449023,0.058379713,0.16732395,-0.14215447,-0.023165926,0.08029039
doux,-0.17242953,-0.11591958,0.12857807,0.117478296,-0.15340427,0.038172424,-0.15687129,-0.016868772,0.042815775,-0.20451333,-0.100396775,-0.10155126,-0.14842951,0.0524886,-0.14993666,0.103927165,0.114541374,-0.1412328,-0.12132464,0.15519808
mineral,-0.06538641,-0.098526895,0.14211495,0.16255307,-0.17338973,0.15362468,-0.10436998,0.082656614,0.06102418,-0.013650419,-0.114604145,-0.13237053,-0.09082679,0.08637585,-0.08526061,0.061424833,0.14040484,-0.09818403,-0.16203356,0.17518973
epice,-0.020333052,-0.13975768,0.018701714,0.1570183,-0.14149386,0.049483858,-0.17030963,-0.0012926776,0.002973225,0.037226725,-0.11983468,-0.1574285,-0.13368075,0.122123465,-0.18423542,0.1729186,0.23265746,-0.15789413,-0.017219253,0.16792357
beurre,-0.14197125,-0.17076707,0.07651177,0.13788447,-0.07361138,0.04647741,-0.13618836,0.1012144,0.08113567,-0.09535989,-0.15419689,-0.08259778,-0.21232916,0.033998087,-0.16218683,0.052004423,0.11279347,-0.12298514,-0.07617198,0.13172258
