RESERVED,-0.09388016,-0.05943536,-0.019123685,0.059474237,-0.007047761,0.029970273,-0.003194496,0.074366905,-0.029701725,0.04831321,-0.028729927,-0.034734704,0.007587826,-0.06325314,-0.06513016,0.020233307,-0.0008184314,-0.0844385,0.03974733,0.053406775,-0.06696226,-0.0012539886,-0.026170755,0.069350794,-0.05120542,-0.015509557,-0.011807833,-0.0062695947,-0.009435665,-0.04722483,0.019027833,0.05265045,-0.008757507,-0.0733431,0.012365697,0.003587138,0.038231205,-0.033275496,-0.0034587868,0.043697886,0.03718149,0.010598589,0.06913612,0.048433572,0.040915478,-0.014793482,-0.022324288,0.004866533,-0.050804198,-0.08263813,-0.05802679,-0.08312638,0.058908373,-0.011342704,-0.017341983,0.08796561,-0.047199808,0.01703057,0.05483521,0.03839209
UNK,0.17557994,0.11071076,-0.00052044634,0.069999926,0.06986794,0.061862797,0.05722093,0.092107326,-0.11575073,-0.048288077,0.06707704,0.119453505,0.08682216,-0.10638196,0.100100346,0.091630235,0.14183669,-0.024224536,0.038949765,0.069163814,-0.058845192,0.15258284,0.15525138,-0.13785358,0.08674638,-0.06154626,-0.13643578,0.050616335,-0.004330271,0.0408516,0.058354102,0.047227383,-0.16808532,0.06884614,-0.11918659,-0.16383171,-0.0055916235,0.03874664,-0.05175913,0.056331985,0.116456546,0.077993736,0.028241873,0.07105228,0.017008204,0.050298583,0.052803025,-0.043643527,0.1108824,0.0986855,-0.10663081,-0.059856437,0.04409135,0.08553491,0.0033105835,-0.05245587,0.07824522,-0.15262063,-0.004573848,0.15743157
fruité,0.62881464,0.38875014,-0.6227702,-0.6280155,0.8037722,-0.1590732,0.90980875,0.054264434,-0.73651266,-0.9007275,0.30164817,0.2568159,0.4381316,-0.52937734,0.73008573,0.5591,0.40827894,-0.9063832,0.63698983,0.41249478,-0.20732927,0.35108596,0.32667604,-0.14161551,0.51687485,-0.62656415,-0.5275872,0.6905979,-0.77911735,0.7154839,0.62550473,0.61327255,-0.5970251,0.5877205,-0.5028258,-0.92415583,-0.5929041,0.66581166,-0.42510915,0.6357584,-0.3944506,0.6853033,-1.0766987,0.8207203,0.80354714,0.92448986,0.76092964,-0.5828531,0.865304,0.7151978,-0.97076535,-0.84449154,0.81269616,0.69521093,0.5883663,-0.72739863,0.5470178,-0.490602,-0.81805915,0.55925643
vert,0.31086788,0.3791499,-0.3926633,-0.7243197,0.77093565,-0.17183754,0.63661087,0.46964175,-0.45733145,-0.83293223,0.22131613,0.160214,0.4683551,-0.22497135,0.7658354,0.40919623,0.5462673,-0.36176848,0.44380078,0.5012702,-0.4479925,-0.18745643,0.7021081,-0.79813296,0.27424252,-0.28610817,-0.24036497,0.515729,-0.62363505,0.4778653,0.7449923,0.5238706,-0.8798866,0.7490926,0.0430592,-0.4964831,-0.3417411,0.15021774,0.22263336,-0.19321567,-0.86525357,0.11647782,-0.97121674,0.5501046,0.92241365,0.7630649,0.6515136,-1.037366,0.5755121,0.7166037,-0.5834623,-0.43565753,0.8461262,0.56978333,0.19021258,-0.5148391,0.28032446,-0.4531099,-0.54903907,0.6656646
doux,0.68683004,0.5669296,-0.55936193,-0.84525645,0.81520176,0.13763446,0.74709666,0.07014354,-0.45199627,-0.9458127,0.24383086,0.41768658,0.6023568,-0.48274514,0.7512053,0.83871657,0.63206977,-0.7080407,0.6992954,0.40091842,-0.53987265,0.54049265,0.4092018,-0.1708187,0.78333366,-0.62183106,-0.56220555,0.5283177,-0.74377996,0.53979564,0.42292234,0.7763568,-0.72129166,0.53896856,-0.50178534,-0.44981122,0.23646349,0.44658357,-0.79766494,1.0786572,0.13234627,0.7741972,-0.5700122,0.6744869,0.8195557,0.79283965,0.6993804,-0.40947857,0.53367424,0.8018497,-0.89060384,-0.63482285,0.71692765,0.76754457,0.48327985,-0.8376443,0.6843791,-0.51939774,-0.77478415,0.6969558
floral,0.07508607,0.30093777,-0.7240225,-0.5518709,0.64955574,0.2671556,0.66418004,-0.3348385,-0.5352613,-0.8824233,0.76440674,0.18779552,0.6627305,-0.7760143,0.6790734,0.54426855,0.7824155,-0.75017965,0.81133485,0.88832235,-0.422912,0.48990458,0.14338343,-0.21377525,0.3122514,-0.190658,-0.2415787,0.4039582,-0.8577752,0.42993695,0.7359202,0.86142015,-0.8301305,0.23171905,-0.18334116,-0.6257952,0.9021735,0.46016085,-0.85042906,-0.23407595,-0.13843009,0.72291356,-0.82543194,0.916117,0.58230686,0.88326573,0.55471396,-0.87151957,0.5127748,0.46427047,-0.581535,-0.68225217,0.36509365,0.71494174,0.34208897,-0.7498481,0.13224547,-0.79263484,-0.8820288,0.5483669
boisé,0.25964746,0.44075847,-0.68702805,-0.6919164,0.15024158,-0.21655059,0.5992985,0.32611263,-0.7505126,-0.55582476,0.83783245,0.6001862,0.5315666,-0.862162,0.4160613,0.40614334,0.786267,0.011289088,0.5167587,0.7569056,-0.68752706,0.5876702,0.5810834,-0.53499275,0.45606267,-0.35634035,-0.49983096,0.404831,-0.681463,0.7027764,0.5793553,0.49325103,-0.5191429,0.64678234,-0.61121523,-0.610515,1.6536847,0.39938053,-0.3695796,0.8142806,-0.76870745,0.7618629,-0.60255605,0.7808384,0.44048485,0.6732075,0.47568524,-0.61712503,0.31222218,0.7156465,-0.57688034,-0.28202718,0.062220342,0.5496336,0.6019473,-0.84248745,0.76976424,-0.46679223,-0.54352045,0.2146289
herbe,0.42357928,0.16284706,-0.66779214,-0.3258683,0.57738775,0.39154372,0.5237525,0.67264545,-0.59297156,-0.8044059,0.5606965,0.6029072,0.64061177,-0.624286,0.39996225,0.5223883,0.56428134,0.02461429,0.7664066,0.6260109,-0.7086585,0.57398427,0.5958139,-0.6896763,0.10039244,-0.4198247,-0.63602865,0.5919648,-0.691687,0.09360297,0.47635785,0.68952006,-0.5053922,0.56722444,-0.7686409,-0.4896307,0.9626962,0.61231077,-0.077790394,0.13308261,-1.1491544,0.8480214,-0.5209304,0.66226375,0.66041756,0.7013094,0.31176233,-0.79216516,0.19127753,0.6081433,-0.56223834,-0.53045803,0.2950591,0.54954964,0.43771225,-0.563604,0.5890182,-0.7344515,-0.36619973,0.67922056
épicé,0.41706,0.30754244,-0.5643768,-0.694852,0.5976706,0.060852423,0.75323796,0.6061282,-0.1460395,-0.9705929,0.65509045,0.5723011,0.44901723,-0.55809534,0.37779158,0.49152786,0.67104816,-0.2455594,0.5440161,0.73018706,-0.32082993,0.65540385,0.40688634,-0.48816592,0.531974,-0.52109003,-0.46759948,0.39258775,-0.8053543,-0.0861566,0.3433091,0.6848713,-0.5742706,0.521514,-0.7242002,-0.5903617,1.461828,0.41923958,-0.49717572,0.955836,-0.31862086,0.99685013,-0.42590398,0.39118516,0.46628124,0.83689964,0.3680863,-0.47509766,-0.09825599,0.78232074,-0.6383182,-0.46380275,0.21713167,0.27981406,0.42944467,-0.8609736,0.4889633,-0.29961282,-0.50414276,0.5129292
ciredabeille,0.489755,0.24902904,-0.5783656,-1.0522556,0.80719614,0.70136106,0.5666027,0.5142948,-0.702767,-1.0195782,0.6369726,0.25575414,0.65002084,-0.052017204,0.55166006,0.28256607,0.39279813,-0.635622,0.70686364,0.60582614,-0.42256472,0.22609347,0.304734,-0.56904876,0.503037,-0.5330762,-0.47679174,0.79394114,-0.69333875,0.40575668,0.7297742,0.64088494,-0.62220585,0.2986534,-0.43427986,-0.502862,-0.537734,0.47957307,-0.3733141,-0.49224126,0.2619441,0.68787503,-0.67725366,0.43436682,0.8342116,0.9445617,0.46705085,-0.8947004,0.56822014,0.46504816,-0.38045603,-0.59135675,0.78818625,0.6763967,0.5610925,-0.5135453,0.55070764,-0.49900895,-0.67127645,0.46507052
